City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Imeni Babushkina,RU,2021-05-26 22:04:06,59.7573,43.1285,40.82,78,99,6.26
143,Kodiak,US,2021-05-26 22:04:06,57.79,-152.4072,51.31,71,1,5.75
144,Socorro,US,2021-05-26 22:01:53,31.6546,-106.3033,97.45,9,71,12.97
145,Araouane,ML,2021-05-26 22:04:07,18.9048,-3.5265,97.81,18,100,1.14
146,Pevek,RU,2021-05-26 22:04:07,69.7008,170.3133,32.14,84,1,1.66
147,Sumbe,AO,2021-05-26 22:04:07,-11.2061,13.8437,75.43,77,0,5.79
148,Jocotitlan,MX,2021-05-26 22:04:08,19.7058,-99.7878,80.19,30,99,9.44
149,East London,ZA,2021-05-26 22:04:08,-33.0153,27.9116,65.14,78,94,6.58
150,Mayo,US,2021-05-26 22:04:08,38.8876,-76.5119,82.56,75,20,2.89
151,Tuatapere,NZ,2021-05-26 22:04:08,-46.1333,167.6833,45.27,82,100,8.46
152,Carmona,PH,2021-05-26 22:04:09,14.3,121.0167,81.64,80,99,4.94
153,Rio Verde De Mato Grosso,BR,2021-05-26 22:04:09,-18.9181,-54.8442,76.15,64,2,2.01
154,Saint-Augustin,CA,2021-05-26 22:04:09,51.226,-58.6502,43.48,96,100,9.13
155,Fare,PF,2021-05-26 22:04:09,-16.7,-151.0167,81.43,69,11,10.85
156,Kuito,AO,2021-05-26 22:04:10,-12.3833,16.9333,53.01,55,0,2.33
157,Alice Springs,AU,2021-05-26 22:04:10,-23.7,133.8833,36.95,81,20,8.68
158,Robertsport,LR,2021-05-26 22:04:10,6.7533,-11.3686,81.9,80,57,9.78
159,Avera,US,2021-05-26 22:04:10,33.194,-82.5271,93.07,34,35,11.68
160,Tarauaca,BR,2021-05-26 22:00:06,-8.1614,-70.7656,80.28,70,92,1.61
161,Barda,AZ,2021-05-26 22:04:11,40.3744,47.1267,58.28,95,79,6.89
162,Upernavik,GL,2021-05-26 22:04:11,72.7868,-56.1549,33.15,90,100,11.79
163,Kyshtovka,RU,2021-05-26 22:04:11,56.555,76.6271,54.64,76,72,13.35
164,Ornskoldsvik,SE,2021-05-26 22:04:11,63.2909,18.7153,49.82,71,90,16.11
165,Atasu,KZ,2021-05-26 22:04:12,48.6814,71.6433,69.48,31,7,9.35
166,Neijiang,CN,2021-05-26 22:04:12,29.5835,105.0622,64.06,91,100,3.09
167,Bambous Virieux,MU,2021-05-26 22:04:12,-20.3428,57.7575,72.21,88,9,4.59
168,Awjilah,LY,2021-05-26 22:04:12,29.1081,21.2869,80.15,22,0,9.78
169,Zhezkazgan,KZ,2021-05-26 22:04:13,47.8043,67.7144,73.33,24,49,8.1
170,Shingu,JP,2021-05-26 22:04:13,33.7333,135.9833,59.92,97,100,10.49
171,Cidreira,BR,2021-05-26 22:04:13,-30.1811,-50.2056,59.88,68,0,4.65
172,Brooks,CA,2021-05-26 22:04:14,50.5834,-111.8851,62.04,54,96,14.9
173,Revda,RU,2021-05-26 22:04:14,56.801,59.9303,50.81,93,4,5.48
174,Maroua,CM,2021-05-26 22:04:14,10.591,14.3159,88.45,38,4,4.47
175,Kaitangata,NZ,2021-05-26 22:04:14,-46.2817,169.8464,39.06,64,59,4.16
176,Ribeira Grande,PT,2021-05-26 22:04:15,38.5167,-28.7,59.95,69,92,16.82
177,Chambas,CU,2021-05-26 22:04:15,22.1928,-78.9136,82.02,61,60,14.45
178,Muros,ES,2021-05-26 22:04:15,42.7762,-9.0603,62.83,70,49,8.84
179,Jalingo,NG,2021-05-26 22:04:16,8.8833,11.3667,77.13,81,100,5.68
180,Kangaatsiaq,GL,2021-05-26 22:04:16,68.3065,-53.4641,44.49,60,85,11.1
