City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Kalmunai,LK,7.4167,81.8167,81.55,65,100,9.28,overcast clouds
287,Isangel,VU,-19.55,169.2667,75.38,63,14,5.03,few clouds
288,Camacha,PT,33.0833,-16.3333,63.54,68,75,14.97,broken clouds
289,Porteirinha,BR,-15.7433,-43.0283,71.2,51,0,5.77,clear sky
290,Bathsheba,BB,13.2167,-59.5167,81.21,69,75,16.98,broken clouds
291,Pangody,RU,65.85,74.4859,36.54,54,67,11.88,broken clouds
292,Vestmannaeyjar,IS,63.4427,-20.2734,44.31,82,21,24.87,few clouds
293,Provideniya,RU,64.3833,-173.3,46.51,49,0,13.42,clear sky
294,Thinadhoo,MV,0.5333,72.9333,84.54,71,100,21.45,overcast clouds
295,Shangrao,CN,28.4532,117.9686,75.29,84,100,3.44,overcast clouds
296,Bilibino,RU,68.0546,166.4372,52.27,48,38,7.23,scattered clouds
297,Manokwari,ID,-0.8667,134.0833,79.72,79,100,5.77,light rain
298,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.56,61,0,0.87,clear sky
299,Okhotsk,RU,59.3833,143.3,43.12,78,100,5.35,overcast clouds
300,Santander,ES,43.4647,-3.8044,54.46,91,0,3.0,clear sky
301,Palu,ID,-0.8917,119.8707,86.16,67,46,2.24,scattered clouds
302,Cap Malheureux,MU,-19.9842,57.6142,72.09,83,7,1.01,clear sky
303,Krasnofarfornyy,RU,59.1364,31.8502,43.03,98,25,5.21,scattered clouds
304,Labe,GN,11.3182,-12.2833,68.88,78,82,3.11,broken clouds
305,Altay,CN,47.8667,88.1167,75.79,24,0,1.79,clear sky
306,Kahului,US,20.8947,-156.47,88.54,71,40,21.85,scattered clouds
307,Qandala,SO,11.472,49.8728,86.29,63,100,0.87,overcast clouds
308,Kitimat,CA,54.0524,-128.6534,52.18,88,100,1.14,light rain
309,San Andres,CO,12.5847,-81.7006,82.42,83,75,11.5,broken clouds
310,Kamariotissa,GR,40.4833,25.4667,64.45,74,44,22.15,scattered clouds
311,Kirakira,SB,-10.4544,161.9205,82.2,64,100,11.45,overcast clouds
312,Ahipara,NZ,-35.1667,173.1667,60.4,54,64,5.55,broken clouds
313,Birao,CF,10.2849,22.7882,78.01,67,100,3.49,overcast clouds
314,Basoko,CD,1.2391,23.616,71.76,80,98,2.82,overcast clouds
315,Matagami,CA,49.7502,-77.6328,35.71,100,90,13.09,overcast clouds
316,Beaverlodge,CA,55.2166,-119.4361,54.75,88,100,7.4,overcast clouds
317,Sioux Lookout,CA,50.1001,-91.917,39.58,48,40,5.75,scattered clouds
318,Chernyshevskiy,RU,63.0128,112.4714,51.57,69,100,3.8,overcast clouds
319,Lafia,NG,8.4833,8.5167,78.46,85,100,3.04,overcast clouds
320,Salalah,OM,17.0151,54.0924,82.49,78,20,4.61,few clouds
321,Ostrovnoy,RU,68.0531,39.5131,35.76,74,27,5.99,scattered clouds
322,Kudahuvadhoo,MV,2.6708,72.8944,84.11,72,77,20.62,broken clouds
323,Pemangkat,ID,1.1667,108.9667,81.16,78,83,6.71,broken clouds
324,Dungarpur,IN,23.8333,73.7167,81.86,77,75,13.91,broken clouds
325,Korla,CN,41.7597,86.1469,78.57,14,100,1.7,overcast clouds
326,Nombre De Dios,MX,23.85,-104.2333,92.75,11,50,7.31,scattered clouds
327,Talara,PE,-4.5772,-81.2719,69.58,89,21,12.64,few clouds
328,Amapa,BR,1.0,-52.0,72.12,99,100,1.88,overcast clouds
329,Mandal,IN,25.45,74.5667,85.1,58,25,10.87,scattered clouds
330,Vagur,FO,61.4732,-6.8119,44.67,80,93,20.09,overcast clouds
331,Warragul,AU,-38.1667,145.9333,57.24,88,100,11.01,light rain
332,Caravelas,BR,-17.7125,-39.2481,73.09,93,21,2.48,few clouds
333,Kirando,TZ,-7.4167,30.6,70.27,73,1,10.04,clear sky
334,Umba,RU,66.6871,34.3429,34.47,79,13,4.72,few clouds
335,Bilma,NE,18.6853,12.9164,84.22,9,1,4.43,clear sky
336,Haines Junction,CA,60.7522,-137.5108,58.95,33,7,9.22,light rain
337,Moerai,PF,-22.4333,-151.3333,76.71,74,33,11.86,scattered clouds
338,Grindavik,IS,63.8424,-22.4338,46.35,81,75,28.41,broken clouds
339,Lata,PT,40.1629,-8.3327,60.71,86,100,2.06,overcast clouds
340,Thompson,CA,55.7435,-97.8558,42.96,39,20,8.05,few clouds
341,Condoto,CO,5.0935,-76.6497,75.25,97,99,1.74,overcast clouds
342,Susanville,US,40.4163,-120.653,76.82,22,1,3.0,clear sky
343,Knyaze-Volkonskoye,RU,48.4642,135.4567,55.74,53,15,8.5,few clouds
344,Kisangani,CD,0.5167,25.2,74.03,84,100,1.59,overcast clouds
345,Aklavik,CA,68.2191,-135.0107,36.32,56,100,10.83,overcast clouds
